"province_of_origin","year","Destination_Newfoundland_and_Labrador","Destination_Prince_Edward_Island","Destination_Nova_Scotia","Destination_New_Brunswick","Destination_Quebec","Destination_Ontario","Destination_Manitoba","Destination_Saskatchewan","Destination_Alberta","Destination_British_Columbia","Destination_Yukon","Destination_Northwest_Territories_including_Nunavut_Terminated","Destination_Northwest_Territories","Destination_Nunavut",meta
"Northwest Territories","2014/2015",76,12,112,45,50,247,61,76,828,367,140,0,0,30,
"Northwest Territories","2015/2016",71,25,96,43,56,283,51,113,765,423,125,0,0,43,
"Northwest Territories","2016/2017",81,17,122,41,64,318,55,101,757,395,112,0,0,25,
"Northwest Territories","2017/2018",39,22,105,41,71,335,57,75,795,354,98,0,0,29,
"Northwest Territories","2018/2019",67,14,151,39,99,433,56,112,716,428,116,0,0,68,
"Nunavut","1971/1972",0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Nunavut","1972/1973",0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Nunavut","1973/1974",0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Nunavut","1974/1975",0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Nunavut","1975/1976",0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Nunavut","1976/1977",0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Nunavut","1977/1978",0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Nunavut","1978/1979",0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Nunavut","1979/1980",0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Nunavut","1980/1981",0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Nunavut","1981/1982",0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Nunavut","1982/1983",0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Nunavut","1983/1984",0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Nunavut","1984/1985",0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Nunavut","1985/1986",0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Nunavut","1986/1987",0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Nunavut","1987/1988",0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Nunavut","1988/1989",0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Nunavut","1989/1990",0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Nunavut","1990/1991",0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Nunavut","1991/1992",53,5,33,16,124,182,106,31,84,88,10,0,240,0,
"Nunavut","1992/1993",86,10,71,27,143,164,81,42,83,109,10,0,230,0,
"Nunavut","1993/1994",41,10,69,35,122,161,113,41,111,80,8,0,267,0,
"Nunavut","1994/1995",77,0,55,17,107,165,122,61,84,81,11,0,308,0,
"Nunavut","1995/1996",54,4,67,33,97,192,77,78,106,85,12,0,277,0,
"Nunavut","1996/1997",80,11,87,36,90,230,78,51,161,81,37,0,348,0,
"Nunavut","1997/1998",73,6,69,28,76,211,85,57,118,61,21,0,306,0,
"Nunavut","1998/1999",80,4,54,24,64,199,111,27,153,67,5,0,271,0,
"Nunavut","1999/2000",101,6,52,34,76,227,83,48,94,58,5,0,203,0,
"Nunavut","2000/2001",83,17,76,26,88,209,85,33,96,69,3,0,207,0,
"Nunavut","2001/2002",79,11,60,33,112,265,94,41,137,53,21,0,176,0,
"Nunavut","2002/2003",180,13,75,18,112,258,94,26,145,66,5,0,149,0,
"Nunavut","2003/2004",118,9,72,23,104,225,71,39,106,58,3,0,128,0,
"Nunavut","2004/2005",118,10,81,26,91,246,77,48,148,64,11,0,139,0,
"Nunavut","2005/2006",140,6,42,38,106,269,97,33,151,71,6,0,121,0,
"Nunavut","2006/2007",118,18,63,27,69,257,78,24,119,104,7,0,107,0,
"Nunavut","2007/2008",155,16,104,33,101,251,88,46,142,69,28,0,126,0,
"Nunavut","2008/2009",114,8,90,14,100,258,90,23,91,38,18,0,100,0,
"Nunavut","2009/2010",121,9,91,35,59,273,72,21,60,62,27,0,103,0,
"Nunavut","2010/2011",83,10,83,37,62,235,52,21,70,76,12,0,88,0,
"Nunavut","2011/2012",110,10,100,37,72,283,87,41,122,67,8,0,76,0,
"Nunavut","2012/2013",78,3,50,39,45,256,67,21,77,75,8,0,93,0,
"Nunavut","2013/2014",113,23,64,58,68,246,78,20,105,82,19,0,52,0,
"Nunavut","2014/2015",97,6,86,47,76,336,38,19,75,90,21,0,85,0,
"Nunavut","2015/2016",70,9,83,49,91,349,77,23,69,51,21,0,64,0,
"Nunavut","2016/2017",47,19,73,51,104,314,71,36,72,57,17,0,63,0,
"Nunavut","2017/2018",70,7,114,40,59,373,58,29,59,57,11,0,80,0,
"Nunavut","2018/2019",65,18,209,41,165,588,44,20,134,86,45,0,29,0,
